customer_id,name,email,age,gender,country,registration_date,last_purchase_date,total_purchases,total_spend,avg_order_value,days_since_last_purchase,favorite_category,email_clicks,email_opens,support_tickets,returns_count,has_premium,referral_count,cluster,cluster_distance
C0001,John Smith,noemail,-1,F,Australia,9999-99-99,2025-03-17,0,0.0,0.0,290,Electronics,71,343,11,5,False,0,0,3.478
C0002,Elizabeth Thomas,elizabeth.thomas@example.com,-1,F,Mexico,2022-12-26,2024-12-05,8,4421135.65,552641.96,392,N/A,469,68,8,12,Yes,9,2,11.5118
C0003,,noemail,61,N/A,Spain,2022-05-30,2025-06-22,0,0.0,0.0,193,Other,124,433,0,6,yes,1,2,3.5122
C0004,James Johnson,user4@test.com,-1,m,Australia,2021-08-02,2024-12-17,9797,0.0,0.0,380,Sports,0,514,0,14257,No,13,1,5.9426
C0005,Robert Jones,invalid.email,52,female,???,2022-05-30,2025-10-18,0,0.0,0.0,75,N/A,271,535,0,6,Yes,0,2,3.8278
C0006,UNKNOWN,@example.com,-1,f,Canada,9999-99-99,2025-02-02,28,-563.44,-20.12,333,N/A,468,0,13,25,no,0,2,4.1384
C0007,Elizabeth Thomas,,0,female,UNKNOWN,2022-09-28,,23,0.0,0.0,-1,Electronics,0,0,8,21,1,9,2,3.4171
C0008,Jennifer Davis,noemail,0,N/A,Mexico,2023-05-23,2025-02-07,94,4142.42,89.31,328,,431,117,0,140,Yes,-2,2,3.6506
C0009,Susan White,N/A,202,Female,France,2023-02-11,2025-10-24,-3,0.0,0.0,69,Books,0,0,8,7,0,16,2,4.705
C0010,,N/A,37,Other,Mexico,2023-01-14,2025-01-10,33,-2924.48,269.34,356,N/A,277,72,0,39,False,8,2,2.9729
C0011,Robert Jones,robert.jones@example.com,-1,Female,UNKNOWN,2021-07-09,2025-01-17,-8,0.0,0.0,580,Toys,0,0,15,2,False,-2,2,4.6912
C0012,Linda Wilson,,0,Female,Italy,2023-03-21,2025-03-15,0,0.0,0.0,292,Home,493,106,20,5,no,13,2,3.2443
C0013,Charles Robinson,charles.robinson@example.com,-1,X,,2022-10-16,,85,0.0,0.0,-1,Other,55,675,0,39,N/A,9,2,3.8639
C0014,John Smith,noemail,0,Female,Mexico,2023-07-11,2025-07-08,-1,0.0,0.0,177,Beauty,13,481,47,1,1,17,2,3.6377
C0015,UNKNOWN,,43,N/A,???,2023-07-04,2024-12-09,66,0.0,0.0,388,Food,358,0,33,52,False,12,0,3.7302
C0016,N/A,@example.com,67,Other,France,2023-10-10,,29,0.0,0.0,-1,Toys,0,707,46,31,no,8,0,3.9781
C0017,Richard Jackson,noemail,-1,f,USA,2021-12-20,2025-04-05,0,0.0,0.0,271,Fashion,59,0,14,6,yes,7,2,3.1403
C0018,Richard Jackson,noemail,-1,M,Spain,2023-11-20,2025-07-27,0,0.0,0.0,158,Beauty,121,166,45,1,False,0,2,3.5133
C0019,John Smith,noemail,-1,Female,Canada,2022-01-17,2024-12-15,0,0.0,0.0,598,Electronics,0,0,21,10,1,10,0,3.9471
C0020,Thomas Thompson,noemail,0,,France,2023-03-21,2025-07-29,0,0.0,0.0,156,Beauty,122,896,15,8,True,3,0,3.5944
C0014,Jessica Martin,noemail,62,F,France,2022-05-15,2025-02-20,0,0.0,0.0,315,Food,118,733,5,8,False,20,0,3.3439
C0022,   ,N/A,175,Female,Spain,9999-99-99,2025-07-13,-10,0.0,0.0,172,Fashion,0,475,19,2,True,12,2,3.8882
C0023,James Johnson,user23@test.com,-1,male,Canada,2022-04-20,2025-01-18,0,0.0,0.0,348,Toys,307,978,46,3,Yes,-1,0,4.5009
C0024,Jennifer Davis,invalid.email,-1,male,USA,2022-09-23,,-6,0.0,0.0,-1,Sports,0,164,36,9,No,11,2,3.5088
C0025,UNKNOWN,@example.com,50,m,,2021-04-21,2025-02-09,-10,0.0,0.0,326,Sports,289,828,3,7,yes,7,0,4.4454
C0026,Jennifer Davis,,36,female,France,2022-07-23,2025-11-30,-2,0.0,0.0,32,Food,379,268,16,7,1,17,2,3.1504
C0027,Linda Wilson,@example.com,-5,F,Brazil,2021-05-20,2025-03-15,0,0.0,0.0,292,Toys,296,895,2,4,no,13,0,4.132
C0028,John Smith,@example.com,-1,female,Spain,2023-02-05,2024-12-08,0,0.0,0.0,389,Other,0,674,39,2,1,0,2,3.7004
C0029,Charles Robinson,user29@test.com,-1,M,,2023-10-16,2025-07-18,7512,0.0,0.0,167,Electronics,110,938,12,1475,no,0,1,4.4389
C0030,UNKNOWN,,28,male,Spain,2022-05-31,2025-08-30,0,0.0,0.0,124,,226,465,-2,7,No,2,2,3.557
C0012,Charles Robinson,noemail,3,m,???,2022-05-22,2024-12-07,37,0.0,0.0,390,Beauty,170,189,41,43,False,17,2,4.1056
C0032,Barbara Taylor,barbara.taylor@example.com,183,female,,2021-07-17,2025-03-04,0,0.0,0.0,303,Books,0,72,12,10,no,0,0,4.3932
C0033,Elizabeth Thomas,noemail,287,X,,2021-05-13,2024-12-20,1410,1568953.31,125.51,-24,Sports,0,235,0,550,no,18,0,5.3273
C0034,UNKNOWN,noemail,-1,,Italy,2023-05-23,2025-08-02,7018,0.0,0.0,152,Fashion,318,989,48,5459,Yes,0,1,3.8818
C0035,Michael Miller,N/A,1,N/A,Australia,2026-07-28,2025-09-25,69,5745.32,83.27,762,N/A,22,791,35,8,1,16,0,4.8063
C0034,Barbara Taylor,barbara.taylor@example.com,21,f,,2022-04-18,,0,0.0,0.0,-1,N/A,248,96,5,10,0,3,2,3.9426
C0037,Linda Wilson,,174,X,France,2023-10-24,,8075,6278185.16,416.7,-1,N/A,0,932,16,9832,No,15,1,4.8971
