property_id,sale_price,predicted_value,prediction_error,agent_name,agent_phone,agent_email,listing_url
P038,337783.51,499284.85076132417,-161501.34076132416,Michael Brown,+1-555-2038,michael.brown@realty.com,https://realty.example.com/listing/p038
P043,405885.83,553090.6245560888,-147204.7945560888,Michael Brown,+1-555-2043,michael.brown@realty.com,https://realty.example.com/listing/p043
P020,416509.81,559226.486265887,-142716.67626588704,Robert Taylor,+1-555-2020,robert.taylor@realty.com,https://realty.example.com/listing/p020
P078,543605.74,661660.5793654486,-118054.83936544857,Emily Davis,+1-555-2078,emily.davis@realty.com,https://realty.example.com/listing/p078
P085,268201.07,383143.8534111257,-114942.78341112571,Richard White,+1-555-2085,richard.white@realty.com,https://realty.example.com/listing/p085
P077,338871.38,451908.3626069464,-113036.98260694637,James Thomas,+1-555-2077,james.thomas@realty.com,https://realty.example.com/listing/p077
P028,251160.19,350598.91797407996,-99438.72797407996,Lisa Anderson,+1-555-2028,lisa.anderson@realty.com,https://realty.example.com/listing/p028
P091,501930.04,597121.8631969183,-95191.8231969183,Robert Taylor,+1-555-2091,robert.taylor@realty.com,https://realty.example.com/listing/p091
P048,337920.62,428858.2506286304,-90937.6306286304,Jessica Walker,+1-555-2048,jessica.walker@realty.com,https://realty.example.com/listing/p048
P068,459535.83,549460.6004906478,-89924.77049064782,Jessica Walker,+1-555-2068,jessica.walker@realty.com,https://realty.example.com/listing/p068
P054,190695.57,277692.3267599591,-86996.7567599591,Susan Clark,+1-555-2054,susan.clark@realty.com,https://realty.example.com/listing/p054
P090,320429.34,404854.99555517454,-84425.65555517451,Mary Garcia,+1-555-2090,mary.garcia@realty.com,https://realty.example.com/listing/p090
P066,245914.76,329337.2923367447,-83422.53233674471,Sarah Johnson,+1-555-2066,sarah.johnson@realty.com,https://realty.example.com/listing/p066
P064,216627.81,298162.3454437936,-81534.53544379357,Joseph Harris,+1-555-2064,joseph.harris@realty.com,https://realty.example.com/listing/p064
P046,178062.21,247250.88498792867,-69188.67498792868,Mary Garcia,+1-555-2046,mary.garcia@realty.com,https://realty.example.com/listing/p046
P099,284838.75,349073.5010012635,-64234.7510012635,Mary Garcia,+1-555-2099,mary.garcia@realty.com,https://realty.example.com/listing/p099
P006,379378.77,442902.7199721383,-63523.949972138274,Robert Taylor,+1-555-2006,robert.taylor@realty.com,https://realty.example.com/listing/p006
P055,575954.54,635723.8725423515,-59769.33254235145,Emily Davis,+1-555-2055,emily.davis@realty.com,https://realty.example.com/listing/p055
P056,279485.45,328120.42160019814,-48634.97160019813,Barbara Moore,+1-555-2056,barbara.moore@realty.com,https://realty.example.com/listing/p056
P051,416797.3,462561.42492402904,-45764.12492402905,Thomas Lewis,+1-555-2051,thomas.lewis@realty.com,https://realty.example.com/listing/p051
